id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
1059,A00025,"Blake, William",artist,39,When the Morning Stars Sang Together,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825.0,1919,image: 191 x 150 mm,191.0,150.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00025_8.jpg,http://www.tate.org.uk/art/artworks/blake-when-the-morning-stars-sang-together-a00025
1060,A00026,"Blake, William",artist,39,Behemoth and Leviathan,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825.0,1919,image: 200 x 151 mm,200.0,151.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00026_8.jpg,http://www.tate.org.uk/art/artworks/blake-behemoth-and-leviathan-a00026
1061,A00027,"Blake, William",artist,39,The Fall of Satan,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825.0,1919,image: 186 x 150 mm,186.0,150.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00027_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-fall-of-satan-a00027
1062,A00028,"Blake, William",artist,39,The Vision of Christ,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825.0,1919,image: 200 x 151 mm,200.0,151.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00028_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-vision-of-christ-a00028
1063,A00029,"Blake, William",artist,39,Job’s Sacrifice,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825.0,1919,image: 198 x 150 mm,198.0,150.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00029_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-sacrifice-a00029
1064,A00030,"Blake, William",artist,39,Every Man also Gave him a Piece of Money,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825.0,1919,image: 197 x 150 mm,197.0,150.0,,mm,,,,http://www.tate.org.uk/art/artworks/blake-every-man-also-gave-him-a-piece-of-money-a00030
1065,A00031,"Blake, William",artist,39,Job and his Daughters,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1825.0,1919,image: 199 x 151 mm,199.0,151.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00031_8.jpg,http://www.tate.org.uk/art/artworks/blake-job-and-his-daughters-a00031
1066,A00032,"Blake, William",artist,39,Job and his Family Restored to Prosperity,"1825, reprinted 1874",Line engraving on paper,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the Art Fund 1919",1825.0,1919,image: 196 x 149 mm,196.0,149.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00032_8.jpg,http://www.tate.org.uk/art/artworks/blake-job-and-his-family-restored-to-prosperity-a00032
1067,A00033,"Blake, William",artist,39,Sketch for ‘The Four and Twenty Elders Casting their Crowns before the Divine Throne’. Verso: Standing Figure with Arms at his Side,"c.1803, c.1805–10",Graphite on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1803.0,1922,support: 488 x 389 mm,488.0,389.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00033_8.jpg,http://www.tate.org.uk/art/artworks/blake-sketch-for-the-four-and-twenty-elders-casting-their-crowns-before-the-divine-throne-a00033
1068,A00034,"Blake, William",artist,39,‘Europe’: Fragment of Pages 3 and 4,1794–c.1830–5,Relief etching and watercolour on paper,Presented by Mrs John Richmond 1922,1794.0,1922,support: 92 x 166 mm,92.0,166.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00034_8.jpg,http://www.tate.org.uk/art/artworks/blake-europe-fragment-of-pages-3-and-4-a00034
1069,A00035,"Blake, William",artist,39,Songs of Innocence and of Experience: Infant Sorrow,"1794, reprinted 1831 or later",Relief etching on paper,Presented by Mrs John Richmond 1922,1794.0,1922,image: 112 x 97 mm,112.0,97.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00035_8.jpg,http://www.tate.org.uk/art/artworks/blake-songs-of-innocence-and-of-experience-infant-sorrow-a00035
1070,A00036,"Blake, William",artist,39,‘Songs of Innocence and of Experience’: ‘Infant Sorrow’,"1794, reprinted 1831 or later",Relief etching on paper,Presented by Mrs John Richmond 1922,1794.0,1922,image: 112 x 97 mm,112.0,97.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00036_8.jpg,http://www.tate.org.uk/art/artworks/blake-songs-of-innocence-and-of-experience-infant-sorrow-a00036
1071,A00037,"Blake, William",artist,39,‘Songs of Innocence and of Experience’: ‘Spring’,"1794, reprinted 1831 or later",Relief etching on paper,Presented by Mrs John Richmond 1922,1794.0,1922,image: 115 x 79 mm,115.0,79.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00037_8.jpg,http://www.tate.org.uk/art/artworks/blake-songs-of-innocence-and-of-experience-spring-a00037
1072,A00038,"Blake, William",artist,39,‘Songs of Innocence’: Title-Page,"1789, reprinted 1831 or later",Relief etching on paper,Presented by Mrs John Richmond 1922,1789.0,1922,image: 120 x 64 mm,120.0,64.0,,mm,,,,http://www.tate.org.uk/art/artworks/blake-songs-of-innocence-title-page-a00038
1073,A00039,"Blake, William",artist,39,‘Songs of Innocence’: Title-Page,"1789, reprinted 1831 or later",Relief etching on paper,Presented by Mrs John Richmond 1922,1789.0,1922,image: 120 x 64 mm,120.0,64.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00039_8.jpg,http://www.tate.org.uk/art/artworks/blake-songs-of-innocence-title-page-a00039
1074,A00040,"Blake, William",artist,39,Sketch for ‘Tiriel Supporting the Dying Myratana’. Verso: Sketch for ‘Tiriel Supporting the Dying Myratana’,c.1786–9,Graphite on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1786.0,1922,support: 291 x 450 mm,291.0,450.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00040_8.jpg,http://www.tate.org.uk/art/artworks/blake-sketch-for-tiriel-supporting-the-dying-myratana-verso-sketch-for-tiriel-supporting-a00040
1075,A00041,"Blake, William",artist,39,Landscape near Felpham,c.1800,Graphite and watercolour on paper,Presented by Mrs John Richmond 1922,1800.0,1922,support: 237 x 343 mm,237.0,343.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00041_8.jpg,http://www.tate.org.uk/art/artworks/blake-landscape-near-felpham-a00041
1076,A00042,"Blake, William",artist,39,Two Figures in a Decorative Border,c.1790,Graphite on paper,Presented by Mrs John Richmond 1922,1790.0,1922,support: 122 x 203 mm,122.0,203.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00042_8.jpg,http://www.tate.org.uk/art/artworks/blake-two-figures-in-a-decorative-border-a00042
1077,A00043,"Blake, William",artist,39,Preliminary Sketch for ‘Christ Girding Himself with Strength’. Verso: Standing Figure with One Arm Raised,"c.1805, c.1805–10",Graphite on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1805.0,1922,support: 505 x 425 mm,505.0,425.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00043_8.jpg,http://www.tate.org.uk/art/artworks/blake-preliminary-sketch-for-christ-girding-himself-with-strength-verso-standing-figure-a00043
1078,A00044,"Blake, William",artist,39,Lower Half of a Woman Playing a Harp. Verso: Seraphim and Other Drawings,"c.1785, c.?1807",Graphite on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1785.0,1922,support: 268 x 450 mm,268.0,450.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00044_8.jpg,http://www.tate.org.uk/art/artworks/blake-lower-half-of-a-woman-playing-a-harp-verso-seraphim-and-other-drawings-a00044
1079,A00045,"Blake, William",artist,39,"St Christopher, Copy from an Engraving? Verso:Part of a Face: Copy from a Plaster Cast: a Daughter of Niobe?",?c.1779–80,Ink on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1779.0,1922,support: 435 x 338 mm,435.0,338.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00045_8.jpg,http://www.tate.org.uk/art/artworks/blake-st-christopher-copy-from-an-engraving-versopart-of-a-face-copy-from-a-plaster-cast-a-a00045
1080,A00046,"Blake, William",artist,39,The Crucifixion,c.1825–7,Graphite on paper,Presented by Mrs John Richmond 1922,1825.0,1922,support: 432 x 276 mm,432.0,276.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00046_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-crucifixion-a00046
1081,A00047,"Blake, William",artist,39,"Composition Sketch, Possibly a Subject from Dante. Verso: A Man Standing over a Figure Reclining on a Bed","?1824–7, ?c.1800–10",Graphite on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1800.0,1922,support: 454 x 339 mm,454.0,339.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00047_8.jpg,http://www.tate.org.uk/art/artworks/blake-composition-sketch-possibly-a-subject-from-dante-verso-a-man-standing-over-a-figure-a00047
1082,A00048,"Blake, William",artist,39,Composition Sketch. Verso: Standing Figure Holding a Spear,?c.1805–10,Graphite on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1805.0,1922,support: 508 x 370 mm,508.0,370.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00048_8.jpg,http://www.tate.org.uk/art/artworks/blake-composition-sketch-verso-standing-figure-holding-a-spear-a00048
1083,A00049,"Blake, William",artist,39,Composition Sketch for ‘The Fall of the Rebel Angels’? Verso: Standing Figure with Flaming Hair,?c.1805–10,Graphite on paper. Verso: graphite on paper,Presented by Mrs John Richmond 1922,1805.0,1922,support: 502 x 425 mm,502.0,425.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00049_8.jpg,http://www.tate.org.uk/art/artworks/blake-composition-sketch-for-the-fall-of-the-rebel-angels-verso-standing-figure-with-a00049
1183,A00050,"Richmond, George",attributed to,447,Tracing of Title-Page of Blake’s ‘Book of Job’,?c.1826,Graphite on paper,Presented by Mrs John Richmond 1922,1826.0,1922,support: 214 x 157 mm,214.0,157.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00050_8.jpg,http://www.tate.org.uk/art/artworks/richmond-tracing-of-title-page-of-blakes-book-of-job-a00050
1505,A00051,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00051
1506,A00052,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00052
1507,A00053,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00053
1508,A00054,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00054
1509,A00055,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00055
1510,A00056,British School 18th century,artist,59,[title not known],date not known,Watercolour on paper,Bequeathed by Miss Julia Emily Gordon 1896,,1896,,,,,,,,,http://www.tate.org.uk/art/artworks/british-school-18th-century-title-not-known-a00056
1695,A00057,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Woman’s Head,1870,Graphite on paper,Bequeathed by A.N. MacNicholl 1916,1870.0,1916,support: 203 x 184 mm,203.0,184.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00057_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-womans-head-a00057
1696,A00058,"Burne-Jones, Sir Edward Coley, Bt",artist,68,"Study of a Sleeping Woman’s Head, possibly for ‘The Rose Bower’ in the ‘Briar Rose’ Series",c.1871–3,Graphite on paper,Bequeathed by A.N. MacNicholl 1916,1871.0,1916,support: 274 x 222 mm,274.0,222.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00058_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-sleeping-womans-head-possibly-for-the-rose-bower-in-the-briar-rose-a00058
1697,A00059,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Man’s Head,1866,Graphite on paper,Bequeathed by A.N. MacNicholl 1916,1866.0,1916,support: 222 x 171 mm,222.0,171.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00059_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-mans-head-a00059
1698,A00060,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Girl’s Head,1866,Graphite on paper,Bequeathed by A.N. MacNicholl 1916,1866.0,1916,support: 260 x 216 mm,260.0,216.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00060_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-girls-head-a00060
1699,A00061,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Standing Woman for ‘The Passing of Venus’,1877,Graphite and watercolour on paper,Bequeathed by A.N. MacNicholl 1916,1877.0,1916,support: 269 x 179 mm,269.0,179.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00061_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-standing-woman-for-the-passing-of-venus-a00061
1700,A00062,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Seated Woman for ‘The Passing of Venus’,c.1877,Graphite and watercolour on paper,Bequeathed by A.N. MacNicholl 1916,1877.0,1916,support: 261 x 225 mm,261.0,225.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00062_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-seated-woman-for-the-passing-of-venus-a00062
