id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
1717,A00079,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Two Studies of Tristram for ‘The Madness of Sir Tristram’,c.1862,Graphite on paper,Bequeathed by J.R. Holliday 1927,1862.0,1927,support: 207 x 241 mm,207.0,241.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00079_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-two-studies-of-tristram-for-the-madness-of-sir-tristram-a00079
1718,A00080,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Roundel with the Head of a Warrior,c.1870–5,Graphite on paper,Bequeathed by J.R. Holliday 1927,1870.0,1927,"support, circular: 224 x 224 mm",,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00080_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-roundel-with-the-head-of-a-warrior-a00080
1719,A00081,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Roundel with the Head of a Woman,c.1870–5,Graphite on paper,Bequeathed by J.R. Holliday 1927,1870.0,1927,"support, circular: 223 x 223 mm",,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00081_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-roundel-with-the-head-of-a-woman-a00081
1720,A00082,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Roundel with the Head of a Woman,c.1870–5,Graphite on paper,Bequeathed by J.R. Holliday 1927,1870.0,1927,"support, circular: 225 x 225 mm",,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00082_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-roundel-with-the-head-of-a-woman-a00082
1721,A00083,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Composition Study for ‘The Merciful Knight’. Verso: Study for a Nativity,c.1863,Graphite on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 252 x 153 mm,252.0,153.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00083_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-composition-study-for-the-merciful-knight-verso-study-for-a-nativity-a00083
20228,A00084,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Composition Study for ‘The Merciful Knight’. Verso: Composition Study for ‘St Valentine’s Day’,c.1863,Graphite on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 258 x 178 mm,258.0,178.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00084_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-composition-study-for-the-merciful-knight-verso-composition-study-for-st-a00084
1722,A00085,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Composition Study for ‘The Merciful Knight’,c.1863,Graphite on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 222 x 157 mm,222.0,157.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00085_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-composition-study-for-the-merciful-knight-a00085
1723,A00086,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Nude Study of Knight for ‘The Merciful Knight’,c.1863,Graphite on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 298 x 133 mm,298.0,133.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00086_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-nude-study-of-knight-for-the-merciful-knight-a00086
1724,A00087,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Nude Study of the Knight for ‘The Merciful Knight’,c.1863,Graphite on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 330 x 143 mm,330.0,143.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00087_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-nude-study-of-the-knight-for-the-merciful-knight-a00087
1725,A00088,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of Knight for ‘The Merciful Knight’,c.1863,Graphite on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 248 x 175 mm,248.0,175.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00088_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-knight-for-the-merciful-knight-a00088
1726,A00089,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Nude Study of Knight for ‘The Merciful Knight’,c.1863,Graphite on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 203 x 190 mm,203.0,190.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00089_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-nude-study-of-knight-for-the-merciful-knight-a00089
1727,A00090,"Burne-Jones, Sir Edward Coley, Bt",artist,68,"Study of a Seated Male Nude for ‘The Liberation of St Peter’ in the Church of St Michael and All Angels, Lyndhurst, Hampshire",c.1863,Graphite and chalk on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 168 x 127 mm,168.0,127.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00090_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-seated-male-nude-for-the-liberation-of-st-peter-in-the-church-of-st-a00090
1728,A00091,"Burne-Jones, Sir Edward Coley, Bt",artist,68,"Two Studies of a Seated Male Nude for ‘The Liberation of St Peter’ in the Church of St Michael and All Angels, Lyndhurst, Hampshire",c.1863,Graphite and chalk on paper,Bequeathed by J.R. Holliday 1927,1863.0,1927,support: 179 x 335 mm,179.0,335.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00091_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-two-studies-of-a-seated-male-nude-for-the-liberation-of-st-peter-in-the-church-a00091
1729,A00092,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study for ‘Blind Love’,date not known,Graphite on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 302 x 140 mm,302.0,140.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00092_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-for-blind-love-a00092
1730,A00093,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study for ‘Blind Love’,date not known,Graphite on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 311 x 133 mm,311.0,133.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00093_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-for-blind-love-a00093
1731,A00094,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Male Figure for ‘Clerk Saunders’,c.1861,Graphite on paper,Bequeathed by J.R. Holliday 1927,1861.0,1927,support: 297 x 148 mm,297.0,148.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00094_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-male-figure-for-clerk-saunders-a00094
1732,A00095,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Seated Woman for ‘The Hours’,c.1866,Graphite on paper,Bequeathed by J.R. Holliday 1927,1866.0,1927,support: 478 x 264 mm,478.0,264.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00095_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-seated-woman-for-the-hours-a00095
1733,A00096,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Reclining Figure,date not known,Graphite on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 105 x 152 mm,105.0,152.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00096_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-reclining-figure-a00096
1734,A00097,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Head of a Girl,c.1861,Graphite on paper,Bequeathed by J.R. Holliday 1927,1861.0,1927,support: 186 x 140 mm,186.0,140.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00097_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-head-of-a-girl-a00097
1735,A00098,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Two Studies for the Head of the King in ‘King Cophetua and the Beggar Maid’,c.1880,Graphite on paper,Bequeathed by J.R. Holliday 1927,1880.0,1927,support: 152 x 162 mm,152.0,162.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00098_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-two-studies-for-the-head-of-the-king-in-king-cophetua-and-the-beggar-maid-a00098
1736,A00099,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Head of a Woman: ?Georgiana Burne-Jones,c.1861,Graphite on paper,Bequeathed by J.R. Holliday 1927,1861.0,1927,support: 140 x 166 mm,140.0,166.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00099_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-head-of-a-woman-georgiana-burne-jones-a00099
20230,A00100,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of Heads for a Pietà,date not known,Graphite and chalk on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 136 x 154 mm,136.0,154.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00100_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-heads-for-a-pieta-a00100
1737,A00101,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Head of a Girl,date not known,Graphite on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 159 x 117 mm,159.0,117.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00101_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-head-of-a-girl-a00101
1738,A00102,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Figure Study,date not known,Graphite on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 114 x 149 mm,114.0,149.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00102_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-figure-study-a00102
1739,A00103,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of the Head of a Female Attendant for ‘The Adoration of the Kings’,c.1861,Graphite on paper,Bequeathed by J.R. Holliday 1927,1861.0,1927,support: 154 x 142 mm,154.0,142.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00103_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-the-head-of-a-female-attendant-for-the-adoration-of-the-kings-a00103
20231,A00104,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of Iseult for ‘The Marriage of Sir Tristram’. Verso: Figure of Sir Tristram,c.1862,Graphite on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,1862.0,1927,support: 293 x 146 mm,293.0,146.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00104_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-iseult-for-the-marriage-of-sir-tristram-verso-figure-of-sir-tristram-a00104
1740,A00105,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Composition Study for ‘Clerk Saunders’,c.1861,Graphite on paper,Bequeathed by J.R. Holliday 1927,1861.0,1927,support: 403 x 185 mm,403.0,185.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00105_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-composition-study-for-clerk-saunders-a00105
1741,A00106,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Head of a Man,c.1861,Graphite on paper,Bequeathed by J.R. Holliday 1927,1861.0,1927,support: 114 x 130 mm,114.0,130.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00106_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-head-of-a-man-a00106
20233,A00107,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study for Tile of the ‘Story of Beauty and the Beast’. Verso: Study for ‘Wine of Circe’,"c.1862, c.1863",Graphite on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,1862.0,1927,image: 258 x 178 mm,258.0,178.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00107_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-for-tile-of-the-story-of-beauty-and-the-beast-verso-study-for-wine-of-a00107
1742,A00108,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study for ‘Pluto and Proserpine Listening to the Music of Orpheus’,c.1875,Graphite on paper,Bequeathed by J.R. Holliday 1927,1875.0,1927,support: 229 x 304 mm,229.0,304.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00108_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-for-pluto-and-proserpine-listening-to-the-music-of-orpheus-a00108
1743,A00109,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Sketch of Two Seated Figures: ‘Chant d’Amour’,c.1862–5,Graphite on paper,Bequeathed by J.R. Holliday 1927,1862.0,1927,support: 190 x 303 mm,190.0,303.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00109_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-sketch-of-two-seated-figures-chant-damour-a00109
1744,A00110,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Sketch of Two Seated Figures for ?‘The Backgammon Players’,?c.1861,Graphite on paper,Bequeathed by J.R. Holliday 1927,1861.0,1927,support: 210 x 225 mm,210.0,225.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00110_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-sketch-of-two-seated-figures-for-the-backgammon-players-a00110
1118,A00111,"Blake, William",artist,39,Frontispiece: Thenot and Colinet,"c.1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 62 x 84 mm,62.0,84.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00111_8.jpg,http://www.tate.org.uk/art/artworks/blake-frontispiece-thenot-and-colinet-a00111
19411,A00112,"Blake, William",artist,39,Thenot Remonstrates with Colinet,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 38 x 74 mm,38.0,74.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00112_8.jpg,http://www.tate.org.uk/art/artworks/blake-thenot-remonstrates-with-colinet-a00112
19412,A00113,"Blake, William",artist,39,Thenot and Colinet Converse Seated between Two Trees,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 33 x 75 mm,33.0,75.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00113_8.jpg,http://www.tate.org.uk/art/artworks/blake-thenot-and-colinet-converse-seated-between-two-trees-a00113
19413,A00114,"Blake, William",artist,39,Thenot Remonstrates with Colinet; Lightfoot in the Distance,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 33 x 73 mm,33.0,73.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00114_8.jpg,http://www.tate.org.uk/art/artworks/blake-thenot-remonstrates-with-colinet-lightfoot-in-the-distance-a00114
19414,A00115,"Blake, William",artist,39,"Thenot, with Colinet Waving his Arms in Sorrow","c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 36 x 73 mm,36.0,73.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00115_8.jpg,http://www.tate.org.uk/art/artworks/blake-thenot-with-colinet-waving-his-arms-in-sorrow-a00115
19415,A00116,"Blake, William",artist,39,The Blighted Corn,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 34 x 73 mm,34.0,73.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00116_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-blighted-corn-a00116
19416,A00117,"Blake, William",artist,39,"‘Nor Fox, nor Wolf, nor Rat among our Sheep’","c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 35 x 73 mm,35.0,73.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00117_8.jpg,http://www.tate.org.uk/art/artworks/blake-nor-fox-nor-wolf-nor-rat-among-our-sheep-a00117
19417,A00118,"Blake, William",artist,39,Sabrina’s Silvery Flood,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 33 x 72 mm,33.0,72.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00118_8.jpg,http://www.tate.org.uk/art/artworks/blake-sabrinas-silvery-flood-a00118
19418,A00119,"Blake, William",artist,39,Colinet’s ‘Fond Desire Strange Lands to Know’,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 37 x 74 mm,37.0,74.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00119_8.jpg,http://www.tate.org.uk/art/artworks/blake-colinets-fond-desire-strange-lands-to-know-a00119
19419,A00120,"Blake, William",artist,39,‘A Rolling Stone is ever Bare of Moss’,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 33 x 77 mm,33.0,77.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00120_8.jpg,http://www.tate.org.uk/art/artworks/blake-a-rolling-stone-is-ever-bare-of-moss-a00120
19420,A00121,"Blake, William",artist,39,Colinet Rests by a Stream at Night,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 33 x 75 mm,33.0,75.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00121_8.jpg,http://www.tate.org.uk/art/artworks/blake-colinet-rests-by-a-stream-at-night-a00121
19421,A00122,"Blake, William",artist,39,"Colinet with his Shepherd’s Pipe, Mocked by Two Boys","c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 36 x 77 mm,36.0,77.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00122_8.jpg,http://www.tate.org.uk/art/artworks/blake-colinet-with-his-shepherds-pipe-mocked-by-two-boys-a00122
19422,A00123,"Blake, William",artist,39,‘For him Our Yearly Wakes and Feasts We Hold’,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 35 x 75 mm,35.0,75.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00123_8.jpg,http://www.tate.org.uk/art/artworks/blake-for-him-our-yearly-wakes-and-feasts-we-hold-a00123
19423,A00124,"Blake, William",artist,39,Thenot and Colinet Folding their Flocks together at Sunset,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 36 x 76 mm,36.0,76.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00124_8.jpg,http://www.tate.org.uk/art/artworks/blake-thenot-and-colinet-folding-their-flocks-together-at-sunset-a00124
19424,A00125,"Blake, William",artist,39,Thenot and Colinet at Supper,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 35 x 76 mm,35.0,76.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00125_8.jpg,http://www.tate.org.uk/art/artworks/blake-thenot-and-colinet-at-supper-a00125
19425,A00126,"Blake, William",artist,39,‘With Songs the Jovial Hinds Return from Plow’,"c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 35 x 75 mm,35.0,75.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00126_8.jpg,http://www.tate.org.uk/art/artworks/blake-with-songs-the-jovial-hinds-return-from-plow-a00126
19426,A00127,"Blake, William",artist,39,"‘And Unyok’d Heifers, Loitering Homeward, Low’","c. 1821, printed 1830",Wood engraving on paper,Presented by Herbert Linnell 1924,1821.0,1924,image: 33 x 77 mm,33.0,77.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00127_8.jpg,http://www.tate.org.uk/art/artworks/blake-and-unyokd-heifers-loitering-homeward-low-a00127
1762,A00128,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Studies for a Nativity,date not known,Graphite on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 137 x 98 mm,137.0,98.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00128_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-studies-for-a-nativity-a00128
1763,A00129,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Design for a Window: Ethelbert,date not known,Graphite and watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 343 x 216 mm,343.0,216.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00129_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-design-for-a-window-ethelbert-a00129
1764,A00130,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Design for a Window: St James the Greater,date not known,Graphite and watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927,support: 311 x 235 mm,311.0,235.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00130_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-design-for-a-window-st-james-the-greater-a00130
1915,A00131,"Callow, William",artist,79,Frankfurt,1840,Graphite on paper,Purchased 1912,1840.0,1912,support: 264 x 365 mm,264.0,365.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00131_8.jpg,http://www.tate.org.uk/art/artworks/callow-frankfurt-a00131
1916,A00132,"Callow, William",artist,79,"Frauenkirche, Nuremberg",1846,Graphite on paper,Purchased 1912,1846.0,1912,support: 264 x 365 mm,264.0,365.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00132_8.jpg,http://www.tate.org.uk/art/artworks/callow-frauenkirche-nuremberg-a00132
1917,A00133,"Callow, William",artist,79,Giessen,1871,Graphite on paper,Purchased 1912,1871.0,1912,support: 248 x 346 mm,248.0,346.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00133_8.jpg,http://www.tate.org.uk/art/artworks/callow-giessen-a00133
1918,A00134,"Callow, William",artist,79,Prague,1874,Graphite on paper,Purchased 1912,1874.0,1912,support: 248 x 346 mm,248.0,346.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00134_8.jpg,http://www.tate.org.uk/art/artworks/callow-prague-a00134
1919,A00135,"Callow, William",artist,79,"Frauenkirche, Prague",1874,Graphite on paper,Purchased 1912,1874.0,1912,support: 248 x 349 mm,248.0,349.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00135_8.jpg,http://www.tate.org.uk/art/artworks/callow-frauenkirche-prague-a00135
1920,A00136,"Callow, William",artist,79,Cochem,1860,Graphite on paper,Purchased 1912,1860.0,1912,support: 264 x 365 mm,264.0,365.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00136_8.jpg,http://www.tate.org.uk/art/artworks/callow-cochem-a00136
1921,A00137,"Callow, William",artist,79,"Maximilianstrasse, Augsburg",date not known,Graphite on paper,Purchased 1912,,1912,support: 264 x 365 mm,264.0,365.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00137_8.jpg,http://www.tate.org.uk/art/artworks/callow-maximilianstrasse-augsburg-a00137
1922,A00138,"Callow, William",artist,79,"Haupt Markt and St Sebald, Nuremberg",1846,Graphite on paper,Purchased 1912,1846.0,1912,support: 264 x 365 mm,264.0,365.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00138_8.jpg,http://www.tate.org.uk/art/artworks/callow-haupt-markt-and-st-sebald-nuremberg-a00138
1923,A00139,"Callow, William",artist,79,"Markt, Coburg",1863,Graphite on paper,Purchased 1912,1863.0,1912,support: 248 x 349 mm,248.0,349.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00139_8.jpg,http://www.tate.org.uk/art/artworks/callow-markt-coburg-a00139
1924,A00140,"Callow, William",artist,79,Coburg,1863,Graphite on paper,Purchased 1912,1863.0,1912,support: 254 x 349 mm,254.0,349.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00140_8.jpg,http://www.tate.org.uk/art/artworks/callow-coburg-a00140
1925,A00141,"Callow, William",artist,79,Frankfurt,1846,Graphite on paper,Purchased 1912,1846.0,1912,support: 264 x 365 mm,264.0,365.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00141_8.jpg,http://www.tate.org.uk/art/artworks/callow-frankfurt-a00141
1926,A00142,"Callow, William",artist,79,"Rathaus, Hanover",1852,Graphite on paper,Purchased 1912,1852.0,1912,support: 254 x 337 mm,254.0,337.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00142_8.jpg,http://www.tate.org.uk/art/artworks/callow-rathaus-hanover-a00142
1927,A00143,"Callow, William",artist,79,"Unidentified Market Place, ? Lubeck or Leipzig",1852,Graphite on paper,Purchased 1912,1852.0,1912,support: 254 x 349 mm,254.0,349.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00143_8.jpg,http://www.tate.org.uk/art/artworks/callow-unidentified-market-place-lubeck-or-leipzig-a00143
1928,A00144,"Callow, William",artist,79,"Royal Palace, Dresden",1852,Graphite on paper,Purchased 1912,1852.0,1912,support: 254 x 349 mm,254.0,349.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00144_8.jpg,http://www.tate.org.uk/art/artworks/callow-royal-palace-dresden-a00144
1929,A00145,"Callow, William",artist,79,"Rathaus, Gotha",1852,Graphite on paper,Purchased 1912,1852.0,1912,support: 254 x 349 mm,254.0,349.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00145_8.jpg,http://www.tate.org.uk/art/artworks/callow-rathaus-gotha-a00145
1930,A00146,"Callow, William",artist,79,"Rathaus, Eisenach",1852,Graphite on paper,Purchased 1912,1852.0,1912,support: 254 x 349 mm,254.0,349.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00146_8.jpg,http://www.tate.org.uk/art/artworks/callow-rathaus-eisenach-a00146
1931,A00147,"Callow, William",artist,79,Quai on the Moselle,1860,Graphite on paper,Purchased 1912,1860.0,1912,support: 264 x 365 mm,264.0,365.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00147_8.jpg,http://www.tate.org.uk/art/artworks/callow-quai-on-the-moselle-a00147
1932,A00148,"Callow, William",artist,79,"Place St Pharailde, Ghent",1850,Graphite on paper,Purchased 1912,1850.0,1912,support: 264 x 365 mm,264.0,365.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00148_8.jpg,http://www.tate.org.uk/art/artworks/callow-place-st-pharailde-ghent-a00148
1933,A00149,"Callow, William",artist,79,"Vegetable Market, Ghent",date not known,Graphite on paper,Purchased 1912,,1912,support: 264 x 365 mm,264.0,365.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00149_8.jpg,http://www.tate.org.uk/art/artworks/callow-vegetable-market-ghent-a00149
1934,A00150,"Callow, William",artist,79,Rotterdam,1845,Graphite on paper,Purchased 1912,1845.0,1912,support: 264 x 362 mm,264.0,362.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00150_8.jpg,http://www.tate.org.uk/art/artworks/callow-rotterdam-a00150
1935,A00151,"Callow, William",artist,79,Namur,1844,Graphite on paper,Purchased 1912,1844.0,1912,support: 254 x 362 mm,254.0,362.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00151_8.jpg,http://www.tate.org.uk/art/artworks/callow-namur-a00151
1936,A00152,"Callow, William",artist,79,"St Paul, Antwerp",1844,Graphite on paper,Purchased 1912,1844.0,1912,support: 254 x 362 mm,254.0,362.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/A/A00/A00152_8.jpg,http://www.tate.org.uk/art/artworks/callow-st-paul-antwerp-a00152
